paper_id,authors,decision
138,"Guang-He Lee, David Alvarez-Melis, Tommi Jaakkola",Accept (Poster)
139,"Ziwei Ji, Matus Telgarsky",Accept (Poster)
140,"Roman Novak, Lechao Xiao, Yasaman Bahri, Jaehoon Lee, Greg Yang, Jiri Hron, Daniel Abolafia, Jeffrey Pennington, Jascha Sohl-dickstein",Accept (Poster)
141,"Steven Li, Bo Jiang, Benjamin Marlin",Accept (Poster)
142,Luis Lastras-Montaño,Accept (Poster)
143,"Ali Mousavi, Gautam Dasarathy, Richard Baraniuk",Accept (Poster)
144,"Michael Kuchnik, Virginia Smith",Accept (Poster)
145,"Chun-Hao Chang, Elliot Creager, Anna Goldenberg, David Duvenaud",Accept (Poster)
146,"Zichao Wang, Randall Balestriero, Richard Baraniuk",Accept (Poster)
147,"Dibya Ghosh, Abhishek Gupta, Sergey Levine",Accept (Poster)
148,"Zhengdao Chen, Lisha Li, Joan Bruna",Accept (Poster)
149,"Kyle Hsu, Sergey Levine, Chelsea Finn",Accept (Poster)
150,"Cheng-Zhi Huang, Ashish Vaswani, Jakob Uszkoreit, Ian Simon, Curtis Hawthorne, Noam Shazeer, Andrew Dai, Matthew Hoffman, Monica Dinculescu, Douglas Eck",Accept (Poster)
151,Jesse Johnson,Accept (Poster)
152,"Xu Tan, Yi Ren, Di He, Tao Qin, Zhou Zhao, Tie-Yan Liu",Accept (Poster)
153,"Pankaj Gupta, Yatin Chaudhary, Florian Buettner, Hinrich Schuetze",Accept (Poster)
154,"Charlie Frogner, Farzaneh Mirzazadeh, Justin Solomon",Accept (Poster)
155,"Adel Bibi, Bernard Ghanem, Vladlen Koltun, Rene Ranftl",Accept (Poster)
156,"Yunchao Liu, Zheng Wu, Daniel Ritchie, William Freeman, Joshua Tenenbaum, Jiajun Wu",Accept (Poster)
157,"Chengzhou Tang, Ping Tan",Accept (Oral)
158,"Chen Sun, Per Karlsson, Jiajun Wu, Joshua Tenenbaum, Kevin Murphy",Accept (Poster)
159,"Kendall Lowrey, Aravind Rajeswaran, Sham Kakade, Emanuel Todorov, Igor Mordatch",Accept (Poster)
160,"Youngwoon Lee, Shao-Hua Sun, Sriram Somasundaram, Edward Hu, Joseph Lim",Accept (Poster)
161,"Behnam Neyshabur, Zhiyuan Li, Srinadh Bhojanapalli, Yann LeCun, Nathan Srebro",Accept (Poster)
162,"Karan Goel, Emma Brunskill",Accept (Poster)
163,"Albert Gu, Frederic Sala, Beliz Gunel, Christopher Ré",Accept (Poster)
164,"Richard Shin, Neel Kant, Kavi Gupta, Chris Bender, Brandon Trabucco, Rishabh Singh, Dawn Song",Accept (Poster)
165,"Haichuan Yang, Yuhao Zhu, Ji Liu",Accept (Poster)
166,"Yasin Yaz{\i}c{\i}, Chuan-Sheng Foo, Stefan Winkler, Kim-Hui Yap, Georgios Piliouras, Vijay Chandrasekhar",Accept (Poster)
167,"Rahaf Aljundi, Marcus Rohrbach, Tinne Tuytelaars",Accept (Poster)
168,"John Ingraham, Adam Riesselman, Chris Sander, Debora Marks",Accept (Oral)
169,"Sheng Jia, Jamie Kiros, Jimmy Ba",Accept (Poster)
170,"Yiding Jiang, Dilip Krishnan, Hossein Mobahi, Samy Bengio",Accept (Poster)
171,"Shuang Ma, Daniel Mcduff, Yale Song",Accept (Poster)
172,"Xujie Si, Yuan Yang, Hanjun Dai, Mayur Naik, Le Song",Accept (Poster)
173,"Rakshit Trivedi, Mehrdad Farajtabar, Prasenjeet Biswal, Hongyuan Zha",Accept (Poster)
174,"Nan Ke, Amanpreet Singh, Ahmed Touati, Anirudh Goyal, Yoshua Bengio, Devi Parikh, Dhruv Batra",Accept (Poster)
175,"Hao He, Hao Wang, Guang-He Lee, Yonglong Tian",Accept (Poster)
176,"Ji Lin, Chuang Gan, Song Han",Accept (Poster)
177,"Anthony Bau, Yonatan Belinkov, Hassan Sajjad, Nadir Durrani, Fahim Dalvi, James Glass",Accept (Poster)
178,"Iou-Jen Liu, Jian Peng, Alexander Schwing",Accept (Poster)
179,"Shengyang Sun, Guodong Zhang, Jiaxin Shi, Roger Grosse",Accept (Poster)
180,"Pramod Mudrakarta, Mark Sandler, Andrey Zhmoginov, Andrew Howard",Accept (Poster)
181,"Marko Vasic, Aditya Kanade, Petros Maniatis, David Bieber, Rishabh Singh",Accept (Poster)
182,"Nan Lu, Gang Niu, Aditya Menon, Masashi Sugiyama",Accept (Poster)
183,"Kamyar Azizzadenesheli, Anqi Liu, Fanny Yang, Animashree Anandkumar",Accept (Poster)
184,"Wei Dai, Yi Zhou, Nanqing Dong, Hao Zhang, Eric Xing",Accept (Poster)
185,"Farzan Farnia, Jesse Zhang, David Tse",Accept (Poster)
186,"Brady Zhou, Philipp Krähenbühl",Accept (Poster)
187,"Prajit Ramachandran, Quoc Le",Accept (Poster)
188,"ShahRukh Athar, Evgeny Burnaev, Victor Lempitsky",Accept (Poster)
189,"Ruiqi Gao, Jianwen Xie, Song-Chun Zhu, Ying Wu",Accept (Poster)
190,"Luke Metz, Niru Maheswaranathan, Brian Cheung, Jascha Sohl-Dickstein",Accept (Oral)
191,"Samaneh Azadi, Catherine Olsson, Trevor Darrell, Ian Goodfellow, Augustus Odena",Accept (Poster)
192,"Sicong Huang, Qiyang Li, Cem Anil, Xuchan Bao, Sageev Oore, Roger Grosse",Accept (Poster)
193,"Xiang Li, Luke Vilnis, Dongxu Zhang, Michael Boratko, Andrew McCallum",Accept (Oral)
194,"Senthil Purushwalkam, Abhinav Gupta, Danny Kaufman, Bryan Russell",Accept (Poster)
195,"Alessandro Achille, Matteo Rovere, Stefano Soatto",Accept (Poster)
196,"Jesse Engel, Kumar Agrawal, Shuo Chen, Ishaan Gulrajani, Chris Donahue, Adam Roberts",Accept (Poster)
197,"Wei-Yu Chen, Yen-Cheng Liu, Zsolt Kira, Yu-Chiang Wang, Jia-Bin Huang",Accept (Poster)
198,"Dimitris Tsipras, Shibani Santurkar, Logan Engstrom, Alexander Turner, Aleksander Madry",Accept (Poster)
199,"Daniel McDuff, Ashish Kapoor",Accept (Poster)
200,"Fernando Gama, Alejandro Ribeiro, Joan Bruna",Accept (Poster)
201,"Tanmay Gangwani, Qiang Liu, Jian Peng",Accept (Poster)
202,"Alexei Baevski, Michael Auli",Accept (Poster)
203,Karel Chvalovský,Accept (Poster)
204,"Guillermo Valle-Perez, Chico Camargo, Ard Louis",Accept (Poster)
205,"Alex Wang, Amanpreet Singh, Julian Michael, Felix Hill, Omer Levy, Samuel Bowman",Accept (Poster)
206,"Izzeddin Gur, Ulrich Rueckert, Aleksandra Faust, Dilek Hakkani-Tur",Accept (Poster)
207,"Shengcao Cao, Xiaofang Wang, Kris Kitani",Accept (Poster)
208,"Zaiyi Chen, Zhuoning Yuan, Jinfeng Yi, Bowen Zhou, Enhong Chen, Tianbao Yang",Accept (Poster)
209,"Ilya Kostrikov, Kumar Agrawal, Debidatta Dwibedi, Sergey Levine, Jonathan Tompson",Accept (Poster)
210,"William Cava, Tilak Singh, James Taggart, Srinivas Suri, Jason Moore",Accept (Poster)
211,"Satya Shukla, Benjamin Marlin",Accept (Poster)
212,"David Bau, Jun-Yan Zhu, Hendrik Strobelt, Bolei Zhou, Joshua Tenenbaum, William Freeman, Antonio Torralba",Accept (Poster)
213,"Vaishnavh Nagarajan, Zico Kolter",Accept (Poster)
214,"Vinicius Zambaldi, David Raposo, Adam Santoro, Victor Bapst, Yujia Li, Igor Babuschkin, Karl Tuyls, David Reichert, Timothy Lillicrap, Edward Lockhart, Murray Shanahan, Victoria Langston, Razvan Pascanu, Matthew Botvinick, Oriol Vinyals, Peter Battaglia",Accept (Poster)
215,"Josue Nassar, Scott Linderman, Monica Bugallo, Il Park",Accept (Poster)
216,"Will Xiao, Honglin Chen, Qianli Liao, Tomaso Poggio",Accept (Poster)
217,"Yannick Schroecker, Mel Vecerik, Jon Scholz",Accept (Poster)
218,"Christopher Roth, Ingmar Kanitscheider, Ila Fiete",Accept (Poster)
219,"Johannes Ballé, Nick Johnston, David Minnen",Accept (Poster)
220,"Fumihiro Sasaki, Tetsuya Yohira, Atsuo Kawaguchi",Accept (Poster)
221,"Ryan Murphy, Balasubramaniam Srinivasan, Vinayak Rao, Bruno Ribeiro",Accept (Poster)
222,"Seong Oh, Kevin Murphy, Jiyan Pan, Joseph Roth, Florian Schroff, Andrew Gallagher",Accept (Poster)
223,"Reinhard Heckel, Paul Hand",Accept (Poster)
224,"Alexandre Piche, Valentin Thomas, Cyril Ibrahim, Yoshua Bengio, Chris Pal",Accept (Poster)
225,"Konik Kothari, Sidharth Gupta, Maarten Hoop, Ivan Dokmanic",Accept (Poster)
226,"Huaxia Wang, Chun-Nam Yu",Accept (Poster)
227,"Anusha Nagabandi, Ignasi Clavera, Simin Liu, Ronald Fearing, Pieter Abbeel, Sergey Levine, Chelsea Finn",Accept (Poster)
228,"Grigorios Chrysos, Jean Kossaifi, Stefanos Zafeiriou",Accept (Poster)
229,"Jeremy Bernstein, Jiawei Zhao, Kamyar Azizzadenesheli, Anima Anandkumar",Accept (Poster)
230,"Hanie Sedghi, Vineet Gupta, Philip Long",Accept (Poster)
231,"Anusha Nagabandi, Chelsea Finn, Sergey Levine",Accept (Poster)
232,"Anirudh Goyal, Riashat Islam, DJ Strouse, Zafarali Ahmed, Hugo Larochelle, Matthew Botvinick, Yoshua Bengio, Sergey Levine",Accept (Poster)
233,"Yize Chen, Yuanyuan Shi, Baosen Zhang",Accept (Poster)
234,"Ali Razavi, Aaron Oord, Ben Poole, Oriol Vinyals",Accept (Poster)
235,"Elias Khalil, Amrita Gupta, Bistra Dilkina",Accept (Poster)
236,"Keyulu Xu, Weihua Hu, Jure Leskovec, Stefanie Jegelka",Accept (Oral)
237,"Xiangyi Chen, Sijia Liu, Ruoyu Sun, Mingyi Hong",Accept (Poster)
238,"Amanpreet Singh, Tushar Jain, Sainbayar Sukhbaatar",Accept (Poster)
239,"Sijia Liu, Pin-Yu Chen, Xiangyi Chen, Mingyi Hong",Accept (Poster)
240,"Alexandre Galashov, Siddhant Jayakumar, Leonard Hasenclever, Dhruva Tirumala, Jonathan Schwarz, Guillaume Desjardins, Wojciech Czarnecki, Yee Teh, Razvan Pascanu, Nicolas Heess",Accept (Poster)
241,"Xiao Zhang, David Evans",Accept (Poster)
242,"R Hjelm, Alex Fedorov, Samuel Lavoie-Marchildon, Karan Grewal, Phil Bachman, Adam Trischler, Yoshua Bengio",Accept (Oral)
243,"John Bradshaw, Matt Kusner, Brooks Paige, Marwin Segler, José Hernández-Lobato",Accept (Poster)
244,"Aliaksandr Siarohin, Enver Sangineto, Nicu Sebe",Accept (Poster)
245,"Tristan Bepler, Bonnie Berger",Accept (Poster)
246,"Hanxiao Liu, Karen Simonyan, Yiming Yang",Accept (Poster)
247,"Jun Gao, Di He, Xu Tan, Tao Qin, Liwei Wang, Tieyan Liu",Accept (Poster)
248,"Kaidi Xu, Sijia Liu, Pu Zhao, Pin-Yu Chen, Huan Zhang, Quanfu Fan, Deniz Erdogmus, Yanzhi Wang, Xue Lin",Accept (Poster)
249,"Victoria Xia, Zi Wang, Kelsey Allen, Tom Silver, Leslie Kaelbling",Accept (Poster)
250,"Han Cai, Ligeng Zhu, Song Han",Accept (Poster)
251,"John Wieting, Douwe Kiela",Accept (Poster)
252,"Pierre Stock, Benjamin Graham, Rémi Gribonval, Hervé Jégou",Accept (Poster)
253,"Leonard Berrada, Andrew Zisserman, M. Kumar",Accept (Poster)
254,"Drew Linsley, Dan Shiebler, Sven Eberhardt, Thomas Serre",Accept (Poster)
255,"Huan Zhang, Hai Zhao",Accept (Poster)
256,Taiji Suzuki,Accept (Poster)
257,"Sachin Kumar, Yulia Tsvetkov",Accept (Poster)
258,"Alexander Shekhovtsov, Boris Flach",Accept (Poster)
259,"Marc Brockschmidt, Miltiadis Allamanis, Alexander Gaunt, Oleksandr Polozov",Accept (Poster)
260,"Eric Nalisnick, Akihiro Matsukawa, Yee Teh, Dilan Gorur, Balaji Lakshminarayanan",Accept (Poster)
261,"Soochan Lee, Junsoo Ha, Gunhee Kim",Accept (Poster)
262,"Jose Oramas, Kaili Wang, Tinne Tuytelaars",Accept (Poster)
263,"Anurag Koul, Alan Fern, Sam Greydanus",Accept (Poster)
264,"Elisabeth Rumetshofer, Markus Hofmarcher, Clemens Röhrl, Sepp Hochreiter, Günter Klambauer",Accept (Poster)
265,"Nantas Nardelli, Gabriel Synnaeve, Zeming Lin, Pushmeet Kohli, Philip Torr, Nicolas Usunier",Accept (Poster)
266,"Daniel Zügner, Stephan Günnemann",Accept (Poster)
267,"Xiaopeng Li, Zhourong Chen, Leonard Poon, Nevin Zhang",Accept (Poster)
268,"Yuan Xie, Boyi Liu, Qiang Liu, Zhaoran Wang, Yuan Zhou, Jian Peng",Accept (Poster)
269,"Namhoon Lee, Thalaiyasingam Ajanthan, Philip Torr",Accept (Poster)
270,"Eric Zhan, Stephan Zheng, Yisong Yue, Long Sha, Patrick Lucey",Accept (Poster)
271,"Pengcheng Yin, Graham Neubig, Miltiadis Allamanis, Marc Brockschmidt, Alexander Gaunt",Accept (Poster)
272,"Wanyun Cui, Guangyu Zheng, Zhiqiang Shen, Sihang Jiang, Wei Wang",Accept (Poster)
